cik,company,event_date,event_year,sic,sic_division,resolved,ticker,provenance,reason_code,exclusion_family,n_bankruptcy_events,is_chapter_22,subsequent_event_dates,xbrl_instances_seen,has_xbrl_fundamentals,public_float_usd,listing_start,listing_end,notes,size_decile
0001322705,Spansion Inc.  (CIK 0001322705),2010-04-22,2010,3674,Manufacturing,True,SPSNQ,filing_text,RESOLVED_FILING_TEXT,resolved,1,False,,0,True,1080900000.0,2009-05-07,2011-05-19,"SPSN rejected: not in listing table | CODE rejected: listing starts 2010-05-18, after event 2010-04-22 | CODEQ rejected: not in listing table",10
0001340752,"Molecular Insight Pharmaceuticals, Inc.  (CIK 0001340752)",2010-12-14,2010,2834,Manufacturing,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,MIPI rejected: not in listing table | MIPIQ rejected: not in listing table,
0001393614,"Kentucky USA Energy, Inc.  (CIK 0001393614)",2010-10-07,2010,1311,Mining,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,KYUS rejected: not in listing table | KYUSQ rejected: not in listing table | LSRC rejected: not in listing table,
0001410637,"RHI Entertainment, Inc.  (CIK 0001410637)",2010-12-13,2010,7812,Services,True,RHIEQ,filing_text,RESOLVED_FILING_TEXT,resolved,1,False,,0,False,,2010-06-01,2011-04-04,RHIE rejected: not in listing table,
0000004515,AMERICAN AIRLINES INC  (CIK 0000004515),2011-11-29,2011,4512,Transport & Utilities,False,,,AMBIGUOUS_OVERLAPPING,data_unavailability,1,False,,53,True,,,,AAMRQ and AAL traded concurrently for 2958 days | AAMR rejected: not in listing table | AALQ rejected: not in listing table,
0000019731,CANAL Corp  (CIK 0000019731),2011-04-19,2011,2650,Manufacturing,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,CSK rejected: not in listing table | CSKQ rejected: not in listing table,
0000097052,TELTRONICS INC  (CIK 0000097052),2011-06-27,2011,3661,Manufacturing,True,TELTQ,filing_text,RESOLVED_FILING_TEXT,resolved,1,False,,0,False,,2011-02-24,2012-02-21,TELT rejected: not in listing table,
0000705200,PAB BANKSHARES INC  (CIK 0000705200),2011-05-02,2011,6022,"Finance, Insurance, Real Estate",False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,PABK rejected: not in listing table | PABKQ rejected: not in listing table | PAB rejected: not in listing table,
0000754597,HABERSHAM BANCORP  (CIK 0000754597),2011-02-23,2011,6022,"Finance, Insurance, Real Estate",False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,0,False,,,,"HABC rejected: listing starts 2017-11-13, after event 2011-02-23 | HABCQ rejected: not in listing table",
0000830519,EMAX HOLDINGS CORP  (CIK 0000830519),2011-06-23,2011,6770,"Finance, Insurance, Real Estate",False,,,NO_XBRL_INSTANCE,data_unavailability,1,False,,0,False,,,,no candidate symbols found,
0000872545,MCINTOSH BANCSHARES INC /GA/  (CIK 0000872545),2011-06-21,2011,6022,"Finance, Insurance, Real Estate",False,,,NO_XBRL_INSTANCE,data_unavailability,1,False,,0,False,,,,no candidate symbols found,
0000940510,BORDERS GROUP INC  (CIK 0000940510),2011-12-22,2011,5940,Retail Trade,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,BGP rejected: not in listing table | BGPQ rejected: not in listing table,
0001000234,"IMPERIAL CAPITAL BANCORP, INC.  (CIK 0001000234)",2011-01-06,2011,6022,"Finance, Insurance, Real Estate",True,IMPCQ,filing_text,RESOLVED_FILING_TEXT,resolved,1,False,,0,False,,2010-01-04,2012-05-22,"IMPC rejected: listing starts 2016-01-06, after event 2011-01-06 | IMP rejected: not in listing table | IMPQ rejected: not in listing table",
0001042418,COMMONWEALTH BIOTECHNOLOGIES INC  (INTI)  (CIK 0001042418),2011-01-25,2011,8731,Services,False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,0,True,3300000.0,,,"INTI rejected: listing starts 2013-08-19, after event 2011-01-25 | INTIQ rejected: not in listing table | HPPI rejected: not in listing table",1
0001062613,FAIRPOINT COMMUNICATIONS INC  (CIK 0001062613),2011-01-25,2011,4813,Transport & Utilities,True,FRP,filing_text,RESOLVED_FILING_TEXT,resolved,1,False,,4,True,384049851.0,2011-01-25,2017-07-11,FRPQ rejected: not in listing table | FRCMQ rejected: not in listing table | FRCM rejected: not in listing table,9
0001082368,BANK OF FLORIDA CORP  (CIK 0001082368),2011-06-28,2011,6021,"Finance, Insurance, Real Estate",False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,BOFL rejected: not in listing table | BOFLQ rejected: not in listing table,
0001095274,FIRST NATIONAL BANCSHARES INC /SC/  (CIK 0001095274),2011-01-05,2011,6021,"Finance, Insurance, Real Estate",False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,FNSC rejected: not in listing table | FNSCQ rejected: not in listing table,
0001096791,Oilsands Quest Inc  (CIK 0001096791),2011-12-05,2011,1090,Mining,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,4,True,138270741.0,,,BQI rejected: not in listing table | BQIQ rejected: not in listing table,8
0001137239,AMERICAS ENERGY Co - AECO  (CIK 0001137239),2011-12-13,2011,1000,Mining,False,,,NO_TRADING_SYMBOL_TAG,data_unavailability,1,False,,4,True,18303787.0,,,no candidate symbols found,4
0001162245,FPB BANCORP INC  (CIK 0001162245),2011-07-18,2011,6021,"Finance, Insurance, Real Estate",False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,FPBI rejected: not in listing table | FPBIQ rejected: not in listing table,
0001283552,JACKSON HEWITT TAX SERVICE INC  (CIK 0001283552),2011-05-24,2011,7200,Services,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,JTX rejected: not in listing table | JTXQ rejected: not in listing table,
0001289871,MPC CORP  (CIK 0001289871),2011-03-14,2011,7372,Services,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,MPZ rejected: not in listing table | MPZQ rejected: not in listing table,
0001321099,"DigitalPost Interactive, Inc.  (CIK 0001321099)",2011-04-01,2011,7374,Services,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,DGLP rejected: not in listing table | DGLPQ rejected: not in listing table,
0001338949,"Majestic Capital, Ltd.  (CIK 0001338949)",2011-05-02,2011,6331,"Finance, Insurance, Real Estate",False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,CRMH rejected: not in listing table | CRMHQ rejected: not in listing table,
0001362659,"TETRAGENEX PHARMACEUTICALS, INC.  (CIK 0001362659)",2011-01-21,2011,2834,Manufacturing,False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,0,False,,,,"TTRX rejected: listing starts 2025-10-08, after event 2011-01-21 | TTRXQ rejected: not in listing table",
0001416712,"IRON MINING GROUP, INC.  (CIK 0001416712)",2011-08-30,2011,8742,Services,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,True,,,,IRNN rejected: not in listing table | IRNNQ rejected: not in listing table | CTLV rejected: not in listing table,
0000022551,TRI VALLEY CORP  (CIK 0000022551),2012-08-09,2012,1311,Mining,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,8,True,40600000.0,,,TIV rejected: not in listing table | TIVQ rejected: not in listing table,5
0000043300,GREAT ATLANTIC & PACIFIC TEA CO INC  (CIK 0000043300),2012-03-05,2012,5411,Retail Trade,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,4,True,,,,GAPTQ rejected: not in listing table | GAPT rejected: not in listing table,
