event_year,n,resolved,any_xbrl,rate
2006,10,0,0,0.0
2007,10,0,0,0.0
2008,10,1,0,0.1
2009,10,1,1,0.1
2010,10,1,1,0.1
2011,10,0,3,0.0
2012,10,4,7,0.4
2013,10,2,6,0.2
2014,10,2,7,0.2
2015,10,4,10,0.4
2016,10,3,10,0.3
2017,10,5,10,0.5
2018,10,6,10,0.6
2019,10,7,10,0.7
2020,10,4,9,0.4
2021,10,4,10,0.4
2022,10,10,10,1.0
2023,10,10,10,1.0
2024,10,7,10,0.7
